,loss,accuracy,val_loss,val_accuracy
0,0.3454296886920929,0.8872435688972473,0.1553410440683365,0.9661388993263245
1,0.1677781641483307,0.9654796719551086,0.15375767648220062,0.9661388993263245
2,0.14908592402935028,0.9654796719551086,0.11343861371278763,0.9661388993263245
3,0.1110047921538353,0.9654796719551086,0.0912439301609993,0.9661388993263245
4,0.091585174202919,0.9659553170204163,0.07584958523511887,0.9691230058670044
5,0.07287335395812988,0.969041645526886,0.05342237278819084,0.9747952818870544
6,0.05434185266494751,0.9743687510490417,0.03758286312222481,0.9829584956169128
7,0.03942270204424858,0.9838813543319702,0.023921053856611252,0.9933165907859802
8,0.02715086005628109,0.992738664150238,0.015516962856054306,0.9972871541976929
9,0.01847117394208908,0.9963217973709106,0.009978155605494976,0.9986435770988464
